feature1,feature2,label
-0.0944,0.7406,0
-1.7442,1.1693,0
0.6438,-3.7267,0
-2.0369,0.2544,0
0.9896,-0.6625,0
0.588,-0.5735,0
1.2171,-0.2923,0
0.5672,-0.4734,0
4.8472,4.9923,1
0.8576,-0.5518,0
0.0555,2.1201,0
0.6182,-1.1216,0
0.317,0.4892,0
0.1868,-0.7056,0
-2.009,0.6863,0
1.7952,1.1028,0
0.3574,-0.5399,0
4.7727,5.0109,1
-1.7557,-1.2681,0
4.3524,4.8345,1
1.0243,-0.6242,0
2.2165,-0.762,0
0.0304,-1.9728,0
1.8892,1.824,0
0.4813,2.5195,0
1.8526,-0.7547,0
0.5255,0.6546,0
0.8509,0.0086,0
-1.3024,-0.2487,0
-1.7143,0.4591,0
0.1489,0.4508,0
-0.7709,-1.585,0
1.0312,1.1892,0
-0.2901,-0.1169,0
3.4962,0.634,0
5.2612,5.3778,1
-0.56,1.4648,0
1.0079,1.1612,0
0.6826,-0.1303,0
5.6358,6.0698,1
4.0317,4.427,1
0.7638,1.2694,0
-0.6309,1.0933,0
-0.2129,-0.315,0
2.5242,-0.8231,0
-1.254,-0.6914,0
-0.7556,-0.0684,0
0.1623,3.3969,0
-3.0808,-0.7903,0
-0.7291,0.9228,0
0.0294,0.1094,0
-1.5268,-0.0678,0
-0.4614,-1.6415,0
-0.3387,-0.3708,0
0.9227,-0.02,0
-0.3154,-1.0046,0
0.7778,0.9319,0
0.1748,0.8912,0
-1.5534,-1.3523,0
2.0494,0.882,0
1.1215,-0.5019,0
2.771,-0.5067,0
-1.126,0.9686,0
2.2481,0.156,0
0.5463,2.6567,0
0.8109,-1.1754,0
-1.138,-1.4974,0
0.0918,0.7002,0
0.172,-0.2441,0
-0.3299,1.0617,0
-0.6167,0.2462,0
5.3593,4.4194,1
4.1992,6.0467,1
0.3246,-2.2668,0
-0.1724,1.7465,0
0.709,-0.3777,0
-1.8339,-0.8673,0
-1.648,1.0053,0
-2.3901,-1.5247,0
0.4548,-1.4648,0
3.491,5.5111,1
-2.5956,-0.3199,0
-1.2369,-1.6445,0
5.2223,5.0183,1
-0.5573,1.5869,0
0.6699,-0.7286,0
-0.8457,0.033,0
-0.3169,-1.1287,0
-2.8049,0.35,0
0.725,-1.5036,0
0.4926,0.9622,0
0.9282,-0.4849,0
-0.1416,-0.0927,0
1.6128,-0.3786,0
-0.5249,0.6488,0
1.691,-0.4291,0
-1.3349,-2.3335,0
-2.0945,0.3442,0
-1.3799,-1.6977,0
5.5119,4.6933,1
4.3596,5.5434,1
2.0408,-0.2133,0
2.2268,-1.8109,0
-0.778,-0.3711,0
-0.9151,-0.0034,0
1.2668,0.154,0
0.6058,-0.6224,0
1.4965,0.972,0
-0.8908,-0.4891,0
-0.1579,-0.3771,0
1.9885,-0.7168,0
-2.1175,0.0041,0
-0.8716,1.5162,0
0.0051,-1.9037,0
-0.5076,-1.5399,0
4.9191,4.905,1
0.0338,-0.6445,0
0.781,-0.1729,0
-0.2839,0.4515,0
0.0189,0.2349,0
-0.8848,0.3576,0
-0.4589,2.0008,0
-0.2169,-2.4371,0
4.3731,4.617,1
1.0627,-1.2048,0
-1.7626,-0.7253,0
-0.3561,-0.8083,0
-1.177,-2.2218,0
1.083,0.3422,0
4.5862,5.1335,1
-0.467,-0.4442,0
0.0359,1.9322,0
-1.8002,-0.4944,0
5.2794,5.1268,1
-0.2418,-1.5738,0
2.3265,1.2876,0
0.9579,-1.145,0
-0.5893,-0.9547,0
0.5614,1.134,0
0.5496,2.5086,0
0.7991,0.1362,0
-0.4823,0.6313,0
-1.1733,-0.8808,0
-0.4035,-1.8443,0
-0.6205,-1.5148,0
3.7545,0.8716,0
1.2578,-1.3459,0
1.485,-1.72,0
5.5869,5.1842,1
1.5775,0.0424,0
-0.5748,-0.3768,0
-1.6087,-0.1661,0
0.9654,-1.3539,0
-1.1236,-2.454,0
2.0481,1.5356,0
0.1874,0.7874,0
-0.0806,-1.3888,0
5.1429,5.4972,1
-1.0052,1.6321,0
-0.4101,0.4573,0
-0.3823,-1.0246,0
-1.4704,1.6128,0
1.8365,2.069,0
-1.3341,-0.3495,0
1.197,-2.1345,0
-0.6021,0.3006,0
-0.3382,-0.1269,0
0.9557,2.7676,0
-0.5584,0.747,0
-1.0755,-0.0519,0
1.4424,-1.4746,0
0.1481,-1.8647,0
-1.2083,0.3587,0
-0.1856,0.0782,0
-0.3443,0.2165,0
2.2748,0.3116,0
-1.9925,-2.9219,0
0.5829,-2.4388,0
0.4916,-0.1453,0
0.3878,-0.4557,0
0.8153,-0.4231,0
-0.9166,0.2694,0
4.8149,5.5747,1
4.9318,5.0665,1
2.2987,-2.0993,0
1.5227,1.7913,0
-1.7025,0.2986,0
-0.4911,-0.181,0
1.0974,-0.9901,0
1.0879,1.3681,0
5.7569,6.1656,1
-1.9219,0.781,0
5.243,5.0603,1
0.603,2.9504,0
0.0583,0.1759,0
1.3419,0.6868,0
0.949,-1.7718,0
0.1011,-0.3958,0
0.4295,0.8077,0
0.0272,-1.8618,0
0.7829,-0.7677,0
4.8783,5.5671,1
1.3085,0.7455,0
-0.2018,0.7772,0
-0.1737,-3.1519,0
5.2142,5.3023,1
5.0432,4.0628,1
1.5109,-0.6261,0
1.7347,1.1407,0
1.251,0.0731,0
-0.9371,-1.2472,0
2.1257,1.1951,0
5.2455,5.523,1
-0.1575,1.2902,0
-1.529,-0.9362,0
1.5951,0.2809,0
-0.8141,-0.0375,0
-1.456,-2.9273,0
0.6129,-0.4112,0
1.3177,-0.4059,0
-0.0435,2.8654,0
-0.8729,-0.0387,0
5.1707,5.7877,1
0.0083,-0.5903,0
1.4615,-1.4404,0
0.1846,0.732,0
-1.2172,0.8651,0
1.8146,-0.5193,0
-0.7698,0.7146,0
-1.1323,-0.5832,0
4.6165,4.1694,1
-0.1313,-2.5329,0
0.7819,0.8867,0
-1.164,-0.3483,0
4.9464,5.1238,1
1.0483,-1.1735,0
-0.4008,1.6897,0
-2.2051,0.9821,0
0.2544,0.3112,0
1.2846,-0.4615,0
1.0037,-0.7529,0
-0.7644,-0.5413,0
-0.9145,2.535,0
0.0048,1.3978,0
-1.2604,1.0578,0
-0.3669,-0.7944,0
0.7602,0.588,0
0.9441,0.0382,0
0.9278,0.556,0
-0.3358,-0.2265,0
0.3289,0.5021,0
0.7662,0.2551,0
0.455,1.0685,0
-0.6168,-1.7308,0
-1.1219,1.9222,0
-2.1579,1.6988,0
-0.0002,0.1066,0
-0.2342,0.7802,0
-1.2618,1.0664,0
0.2534,0.7804,0
-0.586,0.3962,0
5.5449,4.9356,1
-2.8618,2.0502,0
-1.3752,1.3268,0
-0.7465,1.827,0
-1.9457,-0.7098,0
0.4886,-0.1625,0
0.0637,1.09,0
-1.2031,-0.6933,0
-0.5417,2.912,0
0.6691,-0.1655,0
0.6089,1.1919,0
-0.9656,-1.153,0
-1.671,-0.4043,0
-0.8878,0.5371,0
1.0878,1.7163,0
-0.5046,0.0146,0
1.2002,-2.971,0
1.4668,1.3988,0
1.7058,-0.6684,0
1.9103,-0.1504,0
-0.7384,-0.1473,0
-3.2262,1.3998,0
0.8863,1.8759,0
-0.0962,2.1253,0
-0.7353,-0.6994,0
0.5346,0.7208,0
0.0245,-1.1564,0
-1.593,-0.282,0
-0.1445,0.2418,0
-0.3608,0.9284,0
-0.6502,0.5319,0
1.1571,0.7104,0
-0.1899,0.8504,0
-0.5198,-1.3538,0
-0.4603,0.6275,0
-0.8581,-0.8637,0
0.0027,-0.2213,0
1.0003,1.8847,0
-1.9352,0.8566,0
2.7629,-2.0341,0
0.2938,-0.5619,0
-1.3947,1.4701,0
1.9533,-2.1638,0
2.409,1.713,0
-2.198,-0.1802,0
-0.4386,0.5444,0
2.3387,1.4179,0
0.1536,0.5929,0
-1.2415,0.2069,0
4.9265,5.8214,1
-0.3423,-1.9282,0
2.2298,0.0115,0
-0.801,0.9089,0
1.6174,0.504,0
-0.5596,-1.381,0
0.163,-0.1382,0
3.7881,-1.6197,0
0.7496,-1.084,0
-0.5703,-0.3821,0
1.163,0.2683,0
4.9704,4.4304,1
-1.1624,0.8537,0
6.3341,5.4406,1
0.3623,1.5542,0
0.8098,-0.8303,0
-1.0085,0.6152,0
0.1411,0.2354,0
5.4417,5.5369,1
-1.1085,-0.5582,0
0.4614,-1.964,0
-2.2395,2.3397,0
-1.8631,-1.022,0
-0.8247,2.2593,0
0.2619,-1.4695,0
4.1912,4.2183,1
0.0043,-1.6705,0
1.4509,0.4451,0
2.7691,-0.4885,0
-0.7227,-1.2254,0
-1.4996,-1.1589,0
0.3308,2.168,0
1.0902,-0.2038,0
0.4475,-0.1513,0
5.4935,4.9095,1
-2.4172,-0.1532,0
0.4387,1.4827,0
-0.5893,-1.6426,0
-0.7272,0.6763,0
-2.6077,-1.5353,0
-1.5013,-0.0221,0
0.1047,0.2354,0
-1.8699,-0.8397,0
-0.6562,-0.8833,0
0.431,-0.1655,0
2.8052,-0.1447,0
0.9581,0.2368,0
-0.1845,0.0416,0
0.0924,-0.6483,0
-0.5822,1.3334,0
-0.8027,-1.4883,0
-0.3787,0.6946,0
0.3943,-0.1953,0
0.8536,0.9069,0
1.2963,-0.2495,0
-1.2718,1.4451,0
-1.286,1.6737,0
-0.0108,1.0539,0
-0.2417,-1.6462,0
-0.1438,-0.474,0
1.1784,-0.3617,0
-1.44,-0.7895,0
-1.811,-0.1522,0
0.2271,0.2674,0
1.9236,-0.3169,0
1.2417,-0.3046,0
1.6949,-0.4584,0
5.6583,4.6873,1
5.2467,5.1002,1
1.8426,1.0551,0
0.2861,-0.3698,0
-1.5824,-0.6631,0
-1.0965,-0.2516,0
0.1191,-1.6731,0
1.014,1.6864,0
1.8355,0.8961,0
1.4651,0.5592,0
-2.1539,0.0317,0
5.1682,4.8543,1
-2.4849,-0.3978,0
0.077,-2.4204,0
-0.0715,-0.3954,0
-1.0787,0.2307,0
0.8661,-1.3569,0
0.2091,0.7826,0
-0.5118,-0.8279,0
0.2642,0.7322,0
-1.3778,-0.2483,0
0.5319,-1.2026,0
5.3953,5.23,1
-1.5086,0.5886,0
-1.6632,-2.0348,0
2.0182,0.2573,0
0.5062,-1.1175,0
-0.1752,1.2481,0
1.1597,-0.2453,0
1.6167,-0.4121,0
0.0846,0.9592,0
0.3886,0.9122,0
5.3093,4.8464,1
-1.0443,-1.1752,0
0.0836,0.6401,0
4.8082,4.8924,1
-0.5296,-1.1588,0
-1.634,1.7388,0
5.56,4.1921,1
0.4243,2.3326,0
1.359,0.5312,0
-0.3047,-0.6004,0
1.8303,0.4531,0
0.1344,-1.5509,0
-0.5984,-2.7213,0
0.6738,-0.8234,0
-0.351,0.8621,0
4.7885,5.2945,1
-1.5655,-0.2518,0
2.5377,-0.0727,0
0.3056,-1.033,0
0.5743,1.7463,0
-0.4997,0.5983,0
-1.2001,1.055,0
4.9394,4.0704,1
1.173,-0.7475,0
-0.4273,-0.2119,0
1.3334,-0.8092,0
0.725,-0.0155,0
-0.3127,-2.0396,0
1.8439,0.5232,0
0.3782,0.1635,0
1.0701,-3.3542,0
-0.0346,-0.9771,0
-1.862,-2.5428,0
-0.9358,-0.67,0
1.1032,0.2511,0
0.5159,-1.9682,0
1.3388,1.6924,0
0.4932,-0.1629,0
-1.8358,1.7711,0
-2.2994,0.6407,0
5.5144,4.3584,1
0.7185,0.7314,0
2.2502,1.5987,0
-0.0313,2.2267,0
1.0323,0.4738,0
-1.8496,0.0729,0
2.4167,-0.3592,0
-1.3629,-0.9848,0
1.6075,1.0226,0
-1.4165,1.295,0
2.4641,0.0214,0
1.939,-1.0224,0
4.1241,5.3092,1
-1.0385,2.4393,0
-1.3049,-1.249,0
-0.4425,-0.7733,0
0.651,-1.0464,0
0.5187,-1.1981,0
-0.5154,0.6413,0
-0.045,0.8265,0
5.7521,5.1331,1
-1.9788,0.1725,0
-1.4347,0.7313,0
0.5751,2.0804,0
-1.6197,-1.8499,0
0.1407,1.1279,0
0.2443,-1.7675,0
-0.7398,0.988,0
-1.5337,0.7384,0
-0.2878,1.8705,0
0.5565,-0.0117,0
0.1195,-0.0682,0
-0.5902,-1.4713,0
4.3577,4.6369,1
0.2776,-2.5914,0
5.0954,4.2387,1
1.459,-0.2998,0
1.5192,1.8536,0
2.2194,-1.8762,0
-0.273,-0.2218,0
-0.134,-2.8475,0
1.3115,0.1029,0
-0.8985,-0.7154,0
-0.6354,-0.4912,0
0.805,-0.7055,0
-1.5166,1.0133,0
0.3686,-2.1361,0
-0.4846,1.6814,0
-1.1716,0.5815,0
1.3556,1.4635,0
-0.9088,0.4881,0
