feature1,feature2,label
-2.1739,-2.1331,0
1.8931,2.744,1
2.2199,1.2828,1
-0.492,-1.7715,0
-0.8818,-1.5993,0
1.0045,2.6132,1
-1.7908,-0.6035,0
1.2867,2.5695,1
1.8997,0.9894,1
2.5713,3.0063,1
-2.0641,-1.148,0
1.4953,1.9103,1
2.7486,0.4229,1
1.2257,1.1764,1
1.6499,1.0827,1
1.4425,3.3213,1
-1.2403,-1.1002,0
2.1132,1.8599,1
-0.0292,1.8541,1
-4.157,-1.6152,0
2.1197,0.9285,1
2.4718,1.2004,1
-0.4569,-1.6554,0
1.0362,1.8646,1
1.6084,2.0104,1
-2.3871,-1.4394,0
-0.8544,-1.7383,0
-2.0928,-3.3164,0
0.0261,1.1731,1
-1.3875,-0.3017,0
2.615,1.5158,1
2.1229,2.0601,1
-1.3058,-1.1114,0
-3.7522,-1.9064,0
-2.2643,-2.963,0
1.7993,1.4292,1
-1.5475,-1.9892,0
2.0067,0.999,1
3.4518,1.9671,1
-1.2841,-1.8945,0
3.473,2.9608,1
0.4854,2.2646,1
2.8096,3.0126,1
-1.4334,-1.616,0
-1.7744,-0.3248,0
-2.2277,-2.5946,0
-2.4902,-1.715,0
-2.0849,-1.6236,0
1.9819,1.6452,1
2.2565,2.1136,1
1.8446,2.8805,1
2.4196,1.56,1
-1.1916,-1.7938,0
-2.5492,-1.8047,0
-0.7644,-1.7037,0
0.9596,2.3326,1
-2.9937,-1.5783,0
3.0826,2.5078,1
-2.4812,-1.9746,0
2.479,1.1574,1
-2.6065,-2.5206,0
2.3012,0.9306,1
2.9354,1.3383,1
-2.3982,-1.8954,0
-2.2128,-4.0196,0
3.112,2.6507,1
2.2614,2.3431,1
2.6157,1.4565,1
3.8273,2.351,1
2.7789,2.344,1
2.0743,0.8936,1
-1.9672,-1.9507,0
1.348,2.4664,1
0.7045,2.2085,1
-1.4386,-3.0624,0
-1.7968,-2.1661,0
-2.145,-2.4758,0
-0.4663,-1.7392,0
2.9073,1.9322,1
-2.3618,-0.4622,0
-5.0091,-2.0159,0
2.5108,0.4095,1
2.2127,2.9854,1
1.1106,1.9159,1
3.6095,1.5552,1
-2.3947,-1.6308,0
-1.8619,-2.4142,0
-2.3773,-1.911,0
-1.9871,-1.7354,0
4.1616,0.8155,1
1.4654,1.7908,1
-3.1652,-2.1164,0
-2.0163,-2.6909,0
0.5449,2.1645,1
0.102,2.2779,1
-1.9303,-1.6884,0
1.1155,3.2626,1
-2.5232,-1.9396,0
-1.201,-3.1232,0
-0.3474,0.7217,1
-2.4567,-1.3264,0
2.0991,2.7616,1
-1.502,-2.3423,0
-1.9307,-0.4283,0
-0.9186,-0.478,0
1.5981,2.9602,1
2.7775,3.1061,1
0.9326,1.1012,1
1.4615,2.3578,1
-2.4253,-2.1997,0
1.8912,1.3337,1
-0.691,-3.2908,0
2.2078,2.0549,1
2.9497,3.5852,1
-1.2244,-2.4681,0
2.1689,1.6294,1
-2.1883,-1.8023,0
2.4429,2.6265,1
3.3832,3.137,1
0.7968,2.9756,1
-1.1509,-1.9165,0
0.6777,1.7209,1
-2.6837,-1.9698,0
1.3611,2.654,1
3.1897,2.4093,1
1.4702,0.9547,1
